No,PREGUNTA ,N° Respuesta,Respuesta,Es correcto,Cargo,Temas,Familia ,Fecha,CARGO 2,CANAL
8,"Pregunta de única respuesta. Un cliente corporativo va a viajar a Europa por una feria internacional. Te pregunta cómo puede activar el servicio de Roaming Internacional desde su celular.
¿Cuál es la forma más sencilla de activar el servicio antes de viajar?
¿Cuál es la forma más sencilla de activar el servicio antes de viajar?",2.0,Llamando al *601 desde su línea móvil,FALSO,TMK Movil,Roaming internacional,Movil,,TMK Movil,PYME
8,"Pregunta de única respuesta. Un cliente corporativo va a viajar a Europa por una feria internacional. Te pregunta cómo puede activar el servicio de Roaming Internacional desde su celular.
¿Cuál es la forma más sencilla de activar el servicio antes de viajar?
¿Cuál es la forma más sencilla de activar el servicio antes de viajar?",3.0,Enviando un correo al área de soporte,FALSO,TMK Movil,Roaming internacional,Movil,,TMK Movil,PYME
9,"Pregunta de única respuesta. Una empresa de consultoría tiene personal que viaja constantemente a países de América y Europa. El gerente quiere saber si vale la pena contratar Roaming.
¿Cuál de los siguientes beneficios justifica la contratación de Roaming Internacional?
¿Cuál de los siguientes beneficios justifica la contratación de Roaming Internacional?",1.0,Garantiza conectividad continua y acceso a herramientas de trabajo en tiempo real,VERDADERO,TMK Movil,Roaming internacional,Movil,,TMK Movil,PYME
9,"Pregunta de única respuesta. Una empresa de consultoría tiene personal que viaja constantemente a países de América y Europa. El gerente quiere saber si vale la pena contratar Roaming.
¿Cuál de los siguientes beneficios justifica la contratación de Roaming Internacional?
¿Cuál de los siguientes beneficios justifica la contratación de Roaming Internacional?",2.0,Permite cambiar de operador sin costo,FALSO,TMK Movil,Roaming internacional,Movil,,TMK Movil,PYME
9,"Pregunta de única respuesta. Una empresa de consultoría tiene personal que viaja constantemente a países de América y Europa. El gerente quiere saber si vale la pena contratar Roaming.
¿Cuál de los siguientes beneficios justifica la contratación de Roaming Internacional?
¿Cuál de los siguientes beneficios justifica la contratación de Roaming Internacional?",3.0,Reduce el consumo de datos móviles,FALSO,TMK Movil,Roaming internacional,Movil,,TMK Movil,PYME
10,"Pregunta de única respuesta. Una empresa solicita información sobre las opciones de Roaming disponibles para sus empleados que viajarán a Asia y Medio Oriente.
¿Cuál de las siguientes opciones corresponde a los tipos de paquetes que Claro ofrece en Roaming Internacional?
¿Cuál de las siguientes opciones corresponde a los tipos de paquetes que Claro ofrece en Roaming Internacional?",1.0,"Paquetes de datos, paquetes bundle y navegación por demanda",VERDADERO,TMK Movil,Roaming internacional,Movil,,TMK Movil,PYME
10,"Pregunta de única respuesta. Una empresa solicita información sobre las opciones de Roaming disponibles para sus empleados que viajarán a Asia y Medio Oriente.
¿Cuál de las siguientes opciones corresponde a los tipos de paquetes que Claro ofrece en Roaming Internacional?
¿Cuál de las siguientes opciones corresponde a los tipos de paquetes que Claro ofrece en Roaming Internacional?",2.0,Solo paquetes de voz,FALSO,TMK Movil,Roaming internacional,Movil,,TMK Movil,PYME
10,"Pregunta de única respuesta. Una empresa solicita información sobre las opciones de Roaming disponibles para sus empleados que viajarán a Asia y Medio Oriente.
¿Cuál de las siguientes opciones corresponde a los tipos de paquetes que Claro ofrece en Roaming Internacional?
¿Cuál de las siguientes opciones corresponde a los tipos de paquetes que Claro ofrece en Roaming Internacional?",3.0,Solo navegación por demanda,FALSO,TMK Movil,Roaming internacional,Movil,,TMK Movil,PYME
11,"Pregunta de única respuesta. Una empresa con ejecutivos que viajan constantemente solicita una solución que les permita estar conectados sin preocuparse por activar servicios adicionales cada vez que se agota su plan de datos.
¿Cuál es la opción que Claro ofrece para este tipo de necesidad?
¿Cuál es la opción que Claro ofrece para este tipo de necesidad?",1.0,Navegación por demanda,VERDADERO,TMK Movil,Roaming internacional,Movil,,TMK Movil,PYME
11,"Pregunta de única respuesta. Una empresa con ejecutivos que viajan constantemente solicita una solución que les permita estar conectados sin preocuparse por activar servicios adicionales cada vez que se agota su plan de datos.
¿Cuál es la opción que Claro ofrece para este tipo de necesidad?
¿Cuál es la opción que Claro ofrece para este tipo de necesidad?",2.0,Paquete de voz ilimitado,FALSO,TMK Movil,Roaming internacional,Movil,,TMK Movil,PYME
11,"Pregunta de única respuesta. Una empresa con ejecutivos que viajan constantemente solicita una solución que les permita estar conectados sin preocuparse por activar servicios adicionales cada vez que se agota su plan de datos.
¿Cuál es la opción que Claro ofrece para este tipo de necesidad?
¿Cuál es la opción que Claro ofrece para este tipo de necesidad?",3.0,Roaming empresarial,FALSO,TMK Movil,Roaming internacional,Movil,,TMK Movil,PYME
12,"Pregunta de única respuesta. María, comercial de Claro, ofrece el plan “Super Protect Neg 90GB” a una empresa Pyme. El cliente pregunta si este plan incluye alguna protección adicional. ¿Qué debe responder María?",1.0,"Sí, incluye una licencia de seguridad móvil Lookout sin costo por 12 meses.",VERDADERO,TMK Movil,Nuevos planes negocios protect,Nuevos Ingresos ,,TMK Movil,PYME
12,"Pregunta de única respuesta. María, comercial de Claro, ofrece el plan “Super Protect Neg 90GB” a una empresa Pyme. El cliente pregunta si este plan incluye alguna protección adicional. ¿Qué debe responder María?",2.0,No incluye protección adicional.,FALSO,TMK Movil,Nuevos planes negocios protect,Nuevos Ingresos ,,TMK Movil,PYME
12,"Pregunta de única respuesta. María, comercial de Claro, ofrece el plan “Super Protect Neg 90GB” a una empresa Pyme. El cliente pregunta si este plan incluye alguna protección adicional. ¿Qué debe responder María?",3.0,Solo incluye protección si el cliente lo solicita por separado.,FALSO,TMK Movil,Nuevos planes negocios protect,Nuevos Ingresos ,,TMK Movil,PYME
13,Pregunta de única respuesta. Un cliente Pyme desea contratar 15 líneas con planes Protect. ¿Qué debe tener en cuenta el comercial?,1.0,Puede contratar las 15 líneas sin restricciones.,FALSO,TMK Movil,Nuevos planes negocios protect,Nuevos Ingresos ,,TMK Movil,PYME
13,Pregunta de única respuesta. Un cliente Pyme desea contratar 15 líneas con planes Protect. ¿Qué debe tener en cuenta el comercial?,2.0,Debe dividir la compra en dos contratos regulados.,FALSO,TMK Movil,Nuevos planes negocios protect,Nuevos Ingresos ,,TMK Movil,PYME
13,Pregunta de única respuesta. Un cliente Pyme desea contratar 15 líneas con planes Protect. ¿Qué debe tener en cuenta el comercial?,3.0,Solo puede contratar hasta 10 líneas; más de 10 requieren consola administrada y contrato convergente.,VERDADERO,TMK Movil,Nuevos planes negocios protect,Nuevos Ingresos ,,TMK Movil,PYME
14,Pregunta de única respuesta. Carlos realiza una venta de línea nueva con plan Protect Neg 120GB. ¿Qué debe hacer para que el cliente reciba la licencia de Lookout?,1.0,Enviar la factura al cliente.,FALSO,TMK Movil,Nuevos planes negocios protect,Nuevos Ingresos ,,TMK Movil,PYME
14,Pregunta de única respuesta. Carlos realiza una venta de línea nueva con plan Protect Neg 120GB. ¿Qué debe hacer para que el cliente reciba la licencia de Lookout?,2.0,Ingresar el correo electrónico válido del cliente en el módulo de venta digital.,VERDADERO,TMK Movil,Nuevos planes negocios protect,Nuevos Ingresos ,,TMK Movil,PYME
14,Pregunta de única respuesta. Carlos realiza una venta de línea nueva con plan Protect Neg 120GB. ¿Qué debe hacer para que el cliente reciba la licencia de Lookout?,3.0,Solicitar la activación manualmente por correo.,FALSO,TMK Movil,Nuevos planes negocios protect,Nuevos Ingresos ,,TMK Movil,PYME
15,Pregunta de única respuesta. Un cliente cancela su línea móvil con plan Protect después de 4 meses. ¿Qué sucede con la licencia de seguridad móvil Lookout?,1.0,Se mantiene activa por los 12 meses.,FALSO,TMK Movil,Nuevos planes negocios protect,Nuevos Ingresos ,,TMK Movil,PYME
15,Pregunta de única respuesta. Un cliente cancela su línea móvil con plan Protect después de 4 meses. ¿Qué sucede con la licencia de seguridad móvil Lookout?,2.0,Se transfiere a otra línea.,FALSO,TMK Movil,Nuevos planes negocios protect,Nuevos Ingresos ,,TMK Movil,PYME
15,Pregunta de única respuesta. Un cliente cancela su línea móvil con plan Protect después de 4 meses. ¿Qué sucede con la licencia de seguridad móvil Lookout?,3.0,Se cancela automáticamente.,VERDADERO,TMK Movil,Nuevos planes negocios protect,Nuevos Ingresos ,,TMK Movil,PYME
16,Pregunta de única respuesta. Un cliente pregunta qué tipo de amenazas bloquea la aplicación Lookout for Work. ¿Cuál es la respuesta correcta?,1.0,Solo bloquea virus en correos electrónicos.,FALSO,TMK Movil,Nuevos planes negocios protect,Nuevos Ingresos ,,TMK Movil,PYME
16,Pregunta de única respuesta. Un cliente pregunta qué tipo de amenazas bloquea la aplicación Lookout for Work. ¿Cuál es la respuesta correcta?,2.0,"Bloquea phishing, smishing, URLs maliciosas y amenazas emergentes.",VERDADERO,TMK Movil,Nuevos planes negocios protect,Nuevos Ingresos ,,TMK Movil,PYME
16,Pregunta de única respuesta. Un cliente pregunta qué tipo de amenazas bloquea la aplicación Lookout for Work. ¿Cuál es la respuesta correcta?,3.0,Bloquea llamadas no deseadas.,FALSO,TMK Movil,Nuevos planes negocios protect,Nuevos Ingresos ,,TMK Movil,PYME
17,Pregunta de única respuesta. Un cliente recibe el correo con el código de activación de Lookout pero no sabe qué hacer. ¿Qué debe indicarle el comercial?,1.0,"Ignorar el correo, la activación es automática.",FALSO,TMK Movil,Nuevos planes negocios protect,Nuevos Ingresos ,,TMK Movil,PYME
17,Pregunta de única respuesta. Un cliente recibe el correo con el código de activación de Lookout pero no sabe qué hacer. ¿Qué debe indicarle el comercial?,2.0,Esperar a que Claro active la licencia por él.,FALSO,TMK Movil,Nuevos planes negocios protect,Nuevos Ingresos ,,TMK Movil,PYME
17,Pregunta de única respuesta. Un cliente recibe el correo con el código de activación de Lookout pero no sabe qué hacer. ¿Qué debe indicarle el comercial?,3.0,"Ver el video explicativo, descargar la app y seguir los pasos para activar la licencia.",VERDADERO,TMK Movil,Nuevos planes negocios protect,Nuevos Ingresos ,,TMK Movil,PYME
18,Pregunta de única respuesta. Un cliente pregunta si los planes Protect tienen permanencia mínima de 12 meses. ¿Qué debe responder el comercial?,1.0,"Sí, todos los planes requieren permanencia mínima.",FALSO,TMK Movil,Nuevos planes negocios protect,Nuevos Ingresos ,,TMK Movil,PYME
18,Pregunta de única respuesta. Un cliente pregunta si los planes Protect tienen permanencia mínima de 12 meses. ¿Qué debe responder el comercial?,2.0,"No, los planes no requieren permanencia mínima.",VERDADERO,TMK Movil,Nuevos planes negocios protect,Nuevos Ingresos ,,TMK Movil,PYME
18,Pregunta de única respuesta. Un cliente pregunta si los planes Protect tienen permanencia mínima de 12 meses. ¿Qué debe responder el comercial?,3.0,Solo algunos planes tienen permanencia.,FALSO,TMK Movil,Nuevos planes negocios protect,Nuevos Ingresos ,,TMK Movil,PYME
1,"Pregunta de única respuesta. En Banco Andino, la analista de riesgos recibe un SMS con un enlace que aparenta ser de la Superintendencia Financiera. El mensaje le indica que debe actualizar sus credenciales de acceso. Al dar clic, Lookout bloquea el acceso porque identificó el sitio como fraudulento. ¿Que funcionalidad de Lookout actuó en dicha amenaza?",1.0,Detección de phishing en móviles.,VERDADERO,Directos,Linea Segura Loockout,Seguridad,,TMK fijo,PYME
1,"Pregunta de única respuesta. En Banco Andino, la analista de riesgos recibe un SMS con un enlace que aparenta ser de la Superintendencia Financiera. El mensaje le indica que debe actualizar sus credenciales de acceso. Al dar clic, Lookout bloquea el acceso porque identificó el sitio como fraudulento. ¿Que funcionalidad de Lookout actuó en dicha amenaza?",2.0,Consola de administrador para reasignación de licencias,FALSO,Directos,Linea Segura Loockout,Seguridad,,TMK fijo,PYME
1,"Pregunta de única respuesta. En Banco Andino, la analista de riesgos recibe un SMS con un enlace que aparenta ser de la Superintendencia Financiera. El mensaje le indica que debe actualizar sus credenciales de acceso. Al dar clic, Lookout bloquea el acceso porque identificó el sitio como fraudulento. ¿Que funcionalidad de Lookout actuó en dicha amenaza?",3.0,Detección de root o jailbreak.,FALSO,Directos,Linea Segura Loockout,Seguridad,,TMK fijo,PYME
2,"Pregunta de única respuesta.La empresa Ventas Globales tiene ejecutivos que trabajan en movilidad. Uno de ellos, en plena reunión con un cliente, se conecta a la red wifi gratuita del café donde se encontraban. Minutos después, su dispositivo comienza a mostrar comportamientos extraños y se detecta tráfico no autorizado hacia un servidor externo.
¿Qué riesgo se materializó?
¿Qué riesgo se materializó?",1.0,Uso de aplicaciones con SDK vulnerable.,FALSO,Directos,Linea Segura Loockout,Seguridad,,TMK fijo,PYME
2,"Pregunta de única respuesta.La empresa Ventas Globales tiene ejecutivos que trabajan en movilidad. Uno de ellos, en plena reunión con un cliente, se conecta a la red wifi gratuita del café donde se encontraban. Minutos después, su dispositivo comienza a mostrar comportamientos extraños y se detecta tráfico no autorizado hacia un servidor externo.
¿Qué riesgo se materializó?
¿Qué riesgo se materializó?",2.0,Conexión a redes WiFi inseguras o maliciosas.,VERDADERO,Directos,Linea Segura Loockout,Seguridad,,TMK fijo,PYME
2,"Pregunta de única respuesta.La empresa Ventas Globales tiene ejecutivos que trabajan en movilidad. Uno de ellos, en plena reunión con un cliente, se conecta a la red wifi gratuita del café donde se encontraban. Minutos después, su dispositivo comienza a mostrar comportamientos extraños y se detecta tráfico no autorizado hacia un servidor externo.
¿Qué riesgo se materializó?
¿Qué riesgo se materializó?",3.0,Instalación de un certificado raíz en su móvil.,FALSO,Directos,Linea Segura Loockout,Seguridad,,TMK fijo,PYME
3,"Pregunta de única respuesta.En Retail Express, un empleado descarga una aplicación de entretenimiento “gratuita” desde una tienda no oficial. La app comienza a consumir batería y datos de manera anómala. Lookout detecta que se trata de un malware diseñado para robar información del correo corporativo.
¿Qué tipo de amenaza fue detectada?
¿Qué tipo de amenaza fue detectada?",1.0,Escalación de privilegios por jailbreak remoto.,FALSO,Directos,Linea Segura Loockout,Seguridad,,TMK fijo,PYME
3,"Pregunta de única respuesta.En Retail Express, un empleado descarga una aplicación de entretenimiento “gratuita” desde una tienda no oficial. La app comienza a consumir batería y datos de manera anómala. Lookout detecta que se trata de un malware diseñado para robar información del correo corporativo.
¿Qué tipo de amenaza fue detectada?
¿Qué tipo de amenaza fue detectada?",2.0,Páginas web con contenido inadecuado.,FALSO,Directos,Linea Segura Loockout,Seguridad,,TMK fijo,PYME
3,"Pregunta de única respuesta.En Retail Express, un empleado descarga una aplicación de entretenimiento “gratuita” desde una tienda no oficial. La app comienza a consumir batería y datos de manera anómala. Lookout detecta que se trata de un malware diseñado para robar información del correo corporativo.
¿Qué tipo de amenaza fue detectada?
¿Qué tipo de amenaza fue detectada?",3.0,Aplicaciones maliciosas como spyware o troyanos,VERDADERO,Directos,Linea Segura Loockout,Seguridad,,TMK fijo,PYME
4,Pregunta de única respuesta. Transportes Urbanos otorga smartphones corporativos a sus conductores. El área de TI descubre que varios de ellos realizaron manipulación de los sistemas operativos  para instalar aplicaciones no autorizadas que ponen en riesgo la seguridad de la información y del GPS corporativo. Lookout emite alertas y bloquea el acceso a recursos internos hasta que se corrija la manipulación. ¿Qué detectó la herramienta lookout?,1.0,Root o jailbreak en los dispositivos.,VERDADERO,Directos,Linea Segura Loockout,Seguridad,,TMK fijo,PYME
4,Pregunta de única respuesta. Transportes Urbanos otorga smartphones corporativos a sus conductores. El área de TI descubre que varios de ellos realizaron manipulación de los sistemas operativos  para instalar aplicaciones no autorizadas que ponen en riesgo la seguridad de la información y del GPS corporativo. Lookout emite alertas y bloquea el acceso a recursos internos hasta que se corrija la manipulación. ¿Qué detectó la herramienta lookout?,2.0,Malware tipo riskware.,FALSO,Directos,Linea Segura Loockout,Seguridad,,TMK fijo,PYME
4,Pregunta de única respuesta. Transportes Urbanos otorga smartphones corporativos a sus conductores. El área de TI descubre que varios de ellos realizaron manipulación de los sistemas operativos  para instalar aplicaciones no autorizadas que ponen en riesgo la seguridad de la información y del GPS corporativo. Lookout emite alertas y bloquea el acceso a recursos internos hasta que se corrija la manipulación. ¿Qué detectó la herramienta lookout?,3.0,Vulnerabilidades de protocolos de red.,FALSO,Directos,Linea Segura Loockout,Seguridad,,TMK fijo,PYME
5,"Pregunta de única respuesta. En Comunicaciones Alfa, un administrador de TI observa que algunos empleados, a pesar de recibir alertas, ignoran las notificaciones de apps maliciosas y siguen conectándose a redes inseguras. Para reforzar la seguridad, el administrador decide bloquear el acceso a sistemas internos a los dispositivos que no cumplan con los estándares de seguridad. ¿Qué se debe configurar en Lookout?",1.0,Restricción de conexiones a puertos USB.,FALSO,Directos,Linea Segura Loockout,Seguridad,,TMK fijo,PYME
5,"Pregunta de única respuesta. En Comunicaciones Alfa, un administrador de TI observa que algunos empleados, a pesar de recibir alertas, ignoran las notificaciones de apps maliciosas y siguen conectándose a redes inseguras. Para reforzar la seguridad, el administrador decide bloquear el acceso a sistemas internos a los dispositivos que no cumplan con los estándares de seguridad. ¿Qué se debe configurar en Lookout?",2.0,Políticas de seguridad y acceso basado en riesgos.,VERDADERO,Directos,Linea Segura Loockout,Seguridad,,TMK fijo,PYME
5,"Pregunta de única respuesta. En Comunicaciones Alfa, un administrador de TI observa que algunos empleados, a pesar de recibir alertas, ignoran las notificaciones de apps maliciosas y siguen conectándose a redes inseguras. Para reforzar la seguridad, el administrador decide bloquear el acceso a sistemas internos a los dispositivos que no cumplan con los estándares de seguridad. ¿Qué se debe configurar en Lookout?",3.0,Eliminación automática de aplicaciones en la Play Store.,FALSO,Directos,Linea Segura Loockout,Seguridad,,TMK fijo,PYME
6,"Pregunta de única respuesta. Una empresa de contabilidad con 10 empleados trabaja con información sensible de sus clientes. El gerente comenta que recientemente recibieron correos sospechosos y que algunos colaboradores acceden a redes sociales desde los equipos de trabajo.
¿Cuál sería el argumento más acertado para recomendar Internet Seguro a esta empresa?
¿Cuál sería el argumento más acertado para recomendar Internet Seguro a esta empresa?",1.0,Para permitir el acceso a redes sociales y aumentar la productividad,FALSO,Directos,Internet seguro,Seguridad,,TMK fijo,PYME
6,"Pregunta de única respuesta. Una empresa de contabilidad con 10 empleados trabaja con información sensible de sus clientes. El gerente comenta que recientemente recibieron correos sospechosos y que algunos colaboradores acceden a redes sociales desde los equipos de trabajo.
¿Cuál sería el argumento más acertado para recomendar Internet Seguro a esta empresa?
¿Cuál sería el argumento más acertado para recomendar Internet Seguro a esta empresa?",2.0,Para proteger la red corporativa de accesos no autorizados y controlar la navegación,VERDADERO,Directos,Internet seguro,Seguridad,,TMK fijo,PYME
6,"Pregunta de única respuesta. Una empresa de contabilidad con 10 empleados trabaja con información sensible de sus clientes. El gerente comenta que recientemente recibieron correos sospechosos y que algunos colaboradores acceden a redes sociales desde los equipos de trabajo.
¿Cuál sería el argumento más acertado para recomendar Internet Seguro a esta empresa?
¿Cuál sería el argumento más acertado para recomendar Internet Seguro a esta empresa?",3.0,Para mejorar la velocidad de conexión a internet,FALSO,Directos,Internet seguro,Seguridad,,TMK fijo,PYME
7,"Pregunta de única respuesta. Un cliente con servicio de internet empresarial sobre FTTX solicita contratar Internet Seguro. El consultor verifica que el cliente no tiene IP fija aprovisionada.
¿Qué debe hacer el consultor antes de continuar con la digitación del servicio?
¿Qué debe hacer el consultor antes de continuar con la digitación del servicio?",1.0,Solicitar preventa para validar la factibilidad,FALSO,Directos,Internet seguro,Seguridad,,TMK fijo,PYME
7,"Pregunta de única respuesta. Un cliente con servicio de internet empresarial sobre FTTX solicita contratar Internet Seguro. El consultor verifica que el cliente no tiene IP fija aprovisionada.
¿Qué debe hacer el consultor antes de continuar con la digitación del servicio?
¿Qué debe hacer el consultor antes de continuar con la digitación del servicio?",2.0,Continuar con la venta y asignar la IP después,FALSO,Directos,Internet seguro,Seguridad,,TMK fijo,PYME
7,"Pregunta de única respuesta. Un cliente con servicio de internet empresarial sobre FTTX solicita contratar Internet Seguro. El consultor verifica que el cliente no tiene IP fija aprovisionada.
¿Qué debe hacer el consultor antes de continuar con la digitación del servicio?
¿Qué debe hacer el consultor antes de continuar con la digitación del servicio?",3.0,Asegurar que se aprovisione la IP fija en el servicio de internet antes de digitar,VERDADERO,Directos,Internet seguro,Seguridad,,TMK fijo,PYME
8,"Pregunta de única respuesta. Una agencia de publicidad tiene 25 empleados, trabaja con clientes internacionales y requiere conexiones remotas seguras. Además, han tenido incidentes de malware en el pasado.
¿Cuál plan de Internet Seguro se ajusta mejor a sus necesidades?
¿Cuál plan de Internet Seguro se ajusta mejor a sus necesidades?",1.0,"Básico, porque no tiene reglas de firewall y VPN",FALSO,Directos,Internet seguro,Seguridad,,TMK fijo,PYME
8,"Pregunta de única respuesta. Una agencia de publicidad tiene 25 empleados, trabaja con clientes internacionales y requiere conexiones remotas seguras. Además, han tenido incidentes de malware en el pasado.
¿Cuál plan de Internet Seguro se ajusta mejor a sus necesidades?
¿Cuál plan de Internet Seguro se ajusta mejor a sus necesidades?",2.0,"Intermedio, porque no incluye filtrado de navegación",FALSO,Directos,Internet seguro,Seguridad,,TMK fijo,PYME
8,"Pregunta de única respuesta. Una agencia de publicidad tiene 25 empleados, trabaja con clientes internacionales y requiere conexiones remotas seguras. Además, han tenido incidentes de malware en el pasado.
¿Cuál plan de Internet Seguro se ajusta mejor a sus necesidades?
¿Cuál plan de Internet Seguro se ajusta mejor a sus necesidades?",3.0,"Avanzado, porque ofrece protección contra malware y prevención de intrusos",VERDADERO,Directos,Internet seguro,Seguridad,,TMK fijo,PYME
9,"Pregunta de única respuesta. Una empresa de logística tiene sedes remotas en zonas rurales y necesita asegurar la conectividad de sus dispositivos IoT y puntos de venta.
¿Qué componente de la arquitectura de Internet Seguro permite escalar la solución para este tipo de necesidad?
¿Qué componente de la arquitectura de Internet Seguro permite escalar la solución para este tipo de necesidad?",1.0,Malware,FALSO,Directos,Internet seguro,Seguridad,,TMK fijo,PYME
9,"Pregunta de única respuesta. Una empresa de logística tiene sedes remotas en zonas rurales y necesita asegurar la conectividad de sus dispositivos IoT y puntos de venta.
¿Qué componente de la arquitectura de Internet Seguro permite escalar la solución para este tipo de necesidad?
¿Qué componente de la arquitectura de Internet Seguro permite escalar la solución para este tipo de necesidad?",2.0,FortiExtender,VERDADERO,Directos,Internet seguro,Seguridad,,TMK fijo,PYME
9,"Pregunta de única respuesta. Una empresa de logística tiene sedes remotas en zonas rurales y necesita asegurar la conectividad de sus dispositivos IoT y puntos de venta.
¿Qué componente de la arquitectura de Internet Seguro permite escalar la solución para este tipo de necesidad?
¿Qué componente de la arquitectura de Internet Seguro permite escalar la solución para este tipo de necesidad?",3.0,Fortiinternet,FALSO,Directos,Internet seguro,Seguridad,,TMK fijo,PYME
10,"Pregunta de única respuesta. Durante una visita comercial, el cliente afirma que no necesita soluciones de seguridad porque ya tiene un antivirus instalado en todos los equipos.
¿Cuál sería la mejor respuesta del consultor para generar conciencia sobre la necesidad de Internet Seguro?
¿Cuál sería la mejor respuesta del consultor para generar conciencia sobre la necesidad de Internet Seguro?",1.0,“El antivirus es suficiente si no navegan mucho,FALSO,Directos,Internet seguro,Seguridad,,TMK fijo,PYME
10,"Pregunta de única respuesta. Durante una visita comercial, el cliente afirma que no necesita soluciones de seguridad porque ya tiene un antivirus instalado en todos los equipos.
¿Cuál sería la mejor respuesta del consultor para generar conciencia sobre la necesidad de Internet Seguro?
¿Cuál sería la mejor respuesta del consultor para generar conciencia sobre la necesidad de Internet Seguro?",2.0,“Internet Seguro complementa el antivirus con protección de red y navegación,VERDADERO,Directos,Internet seguro,Seguridad,,TMK fijo,PYME
10,"Pregunta de única respuesta. Durante una visita comercial, el cliente afirma que no necesita soluciones de seguridad porque ya tiene un antivirus instalado en todos los equipos.
¿Cuál sería la mejor respuesta del consultor para generar conciencia sobre la necesidad de Internet Seguro?
¿Cuál sería la mejor respuesta del consultor para generar conciencia sobre la necesidad de Internet Seguro?",3.0,“Claro exige tener Internet Seguro para todos los clientes,FALSO,Directos,Internet seguro,Seguridad,,TMK fijo,PYME
11,Pregunta de única respuesta. “Logística Global Ltda.” utiliza smartphones y tablets para rastrear envíos y coordinar entregas. El director de operaciones está preocupado por el impacto que pueda tener un software de seguridad en la duración de la batería y el rendimiento de los dispositivos. ¿Qué ventaja específica de Norton PyMEs debería considerar?,1.0,No influye en la duración de la batería,VERDADERO,TMK fijo,Internet + Norton,Seguridad,,TMK fijo,PYME
11,Pregunta de única respuesta. “Logística Global Ltda.” utiliza smartphones y tablets para rastrear envíos y coordinar entregas. El director de operaciones está preocupado por el impacto que pueda tener un software de seguridad en la duración de la batería y el rendimiento de los dispositivos. ¿Qué ventaja específica de Norton PyMEs debería considerar?,2.0,Consola de administración de licencias,FALSO,TMK fijo,Internet + Norton,Seguridad,,TMK fijo,PYME
11,Pregunta de única respuesta. “Logística Global Ltda.” utiliza smartphones y tablets para rastrear envíos y coordinar entregas. El director de operaciones está preocupado por el impacto que pueda tener un software de seguridad en la duración de la batería y el rendimiento de los dispositivos. ¿Qué ventaja específica de Norton PyMEs debería considerar?,3.0,Plataforma de aprendizaje en línea,FALSO,TMK fijo,Internet + Norton,Seguridad,,TMK fijo,PYME
12,"Pregunta de única respuesta. La empresa “Finanzas Seguras S.A.”, dedicada a servicios financieros en línea, ha detectado intentos de fraude digital en sus plataformas. El gerente de seguridad busca una solución que proteja a sus empleados de ataques de suplantación de identidad y enlaces maliciosos. ¿Qué funcionalidad de Norton PyMEs responde mejor a esta necesidad?",1.0,Navegación anónima,FALSO,TMK fijo,Internet + Norton,Seguridad,,TMK fijo,PYME
12,"Pregunta de única respuesta. La empresa “Finanzas Seguras S.A.”, dedicada a servicios financieros en línea, ha detectado intentos de fraude digital en sus plataformas. El gerente de seguridad busca una solución que proteja a sus empleados de ataques de suplantación de identidad y enlaces maliciosos. ¿Qué funcionalidad de Norton PyMEs responde mejor a esta necesidad?",2.0,Anti-phishing y protección contra malware,VERDADERO,TMK fijo,Internet + Norton,Seguridad,,TMK fijo,PYME
12,"Pregunta de única respuesta. La empresa “Finanzas Seguras S.A.”, dedicada a servicios financieros en línea, ha detectado intentos de fraude digital en sus plataformas. El gerente de seguridad busca una solución que proteja a sus empleados de ataques de suplantación de identidad y enlaces maliciosos. ¿Qué funcionalidad de Norton PyMEs responde mejor a esta necesidad?",3.0,Optimización del sistema,FALSO,TMK fijo,Internet + Norton,Seguridad,,TMK fijo,PYME
13,Pregunta de única respuesta. “Comercializadora Andina” ha detectado que algunos empleados acceden a sitios web no seguros durante el horario laboral. El área de TI busca una solución que garantice una navegación protegida. ¿Qué funcionalidad de Norton PyMEs es más adecuada para este propósito?,1.0,Supervisión de apps,FALSO,TMK fijo,Internet + Norton,Seguridad,,TMK fijo,PYME
13,Pregunta de única respuesta. “Comercializadora Andina” ha detectado que algunos empleados acceden a sitios web no seguros durante el horario laboral. El área de TI busca una solución que garantice una navegación protegida. ¿Qué funcionalidad de Norton PyMEs es más adecuada para este propósito?,2.0,Navegación web segura,VERDADERO,TMK fijo,Internet + Norton,Seguridad,,TMK fijo,PYME
13,Pregunta de única respuesta. “Comercializadora Andina” ha detectado que algunos empleados acceden a sitios web no seguros durante el horario laboral. El área de TI busca una solución que garantice una navegación protegida. ¿Qué funcionalidad de Norton PyMEs es más adecuada para este propósito?,3.0,Túnel dividido,FALSO,TMK fijo,Internet + Norton,Seguridad,,TMK fijo,PYME
14,Pregunta de única respuesta. La institución educativa “Academia Digital” quiere controlar el tiempo que los estudiantes pasan en dispositivos durante el horario escolar. ¿Qué función de Norton PyMEs permite establecer límites y supervisar el uso de los equipos?,1.0,Supervisión de tiempo,VERDADERO,TMK fijo,Internet + Norton,Seguridad,,TMK fijo,PYME
14,Pregunta de única respuesta. La institución educativa “Academia Digital” quiere controlar el tiempo que los estudiantes pasan en dispositivos durante el horario escolar. ¿Qué función de Norton PyMEs permite establecer límites y supervisar el uso de los equipos?,2.0,Seguridad WiFi,FALSO,TMK fijo,Internet + Norton,Seguridad,,TMK fijo,PYME
