Observable,Id_Observable,Nueva_Habilidad,Perfil,Rol
""",""OBS_00077""",HABILIDADES DIGITALES,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR,
"El asesor domina y tiene a la mano las herramientas (Conectados) con política y lineamientos comerciales, agilizando la resolución de dudas u orientación comercial.
",,,,
""",""OBS_00078""",GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR,
"El asesor domina y tiene a la mano las herramientas necesarias para la validación y legalización de la venta, conociendo  el 100% de las alternativas y protocolos necesarios a implementar en caso de alguna novedad o retracto del cliente.",OBS_00079,GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR
"El asesor en caso de presentar interrupciones, errores de información por el cliente o alguna inconformidad, reacciona de manera ágil y asertiva para realizar nuevamente el proceso sin generar inconformidad o malestar.
",,,,
""",""OBS_00080""",ADAPTABILIDAD,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR,
"El asesor es riguroso con la trazabilidad de la solicitud, manteniendo 100% actualizada la información en los sistemas y comunicando a los interesados el estado del requerimiento, los resultados del contacto con el cliente final y cualquier novedad que pueda presentarse en la gestión
",,,,
""",""OBS_00081""",GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR,
El asesor está atento a las señales y comentarios del cliente que puedan indicar una oportunidad de venta.,OBS_00082,HABILIDAD COMERCIAL,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR
"El asesor indaga a través de preguntas abiertas, mínimo dos, el  problema o necesidad del cliente y así lograr un mayor entendimiento de la situación.",OBS_00083,SERVICIO AL CLIENTE,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR
"El asesor indaga proactivamente con mínimo una pregunta,  sobre posibles objeciones de los clientes durante la explicación de nuevas ofertas, transacciones o servicios, tomando notas detalladas de los tips para argumentar.",OBS_00084,HABILIDAD COMERCIAL,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR
"El asesor inicia la interacción con el cliente, asegurando proyección y seguridad a través del tono de voz amable, enérgico y persuasivo, por medio de su presentación personal y/o la forma de contacto.",OBS_00085,HABILIDAD COMERCIAL,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR
"El asesor invita al cliente a conocer más sobre los beneficios del portafolio de Claro, destacando cómo pueden satisfacer sus necesidades. Impulsa el uso de las plataformas digitales como la pagina web o la APP mi Claro.",OBS_00086,HABILIDAD COMERCIAL,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR
"El asesor invita al cliente a realizar acciones concretas o invitaciones a la acción para validar que el producto o servicio esta acorde a sus expectativas, es decir, funcionando, la información esta en su correo o celular, pruebas de señal, ect.",OBS_00087,HABILIDAD COMERCIAL,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR
"El asesor invita mínimo una vez al cliente a realizar acciones concretas o invitaciones a la acción para validar que el producto o servicio está acorde a sus expectativas, es decir, funcionando",OBS_00088,HABILIDAD COMERCIAL,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"El asesor llega puntualmente a su estación de trabajo, validando el ingreso y correcto funcionamiento de las herramientas de trabajo antes de iniciar su jornada laboral.",OBS_00090,GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR
"El asesor logra una conversación fluida, haciendo mínimo una pregunta o comentario para mantener la interacción continua con el cliente.",OBS_00091,GESTIÓN DE EMOCIONES,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"El asesor mantiene una conversación fluida, haciendo preguntas y comentarios para mantener la interacción continua con el cliente.",OBS_00091,GESTIÓN DE EMOCIONES,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"El asesor mínimo una vez guía al comercial para hacer un cierre efectivo del proceso, de manera amable y evidente deseo de ayudar.
",,,,
""",""OBS_00092""",SERVICIO AL CLIENTE,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR,
"El asesor parafrasea las situaciones o datos más relevantes que el cliente manifiesta, demostrando entendimiento de la situación, empatía y genuino interés.",OBS_00093,SERVICIO AL CLIENTE,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR
"El asesor participa activamente durante los preturnos, haciendo preguntas y aclaraciones sobre cualquier duda en los procesos vigentes o información relevante.",OBS_00094,GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR
"El asesor participa activamente durante los preturnos, haciendo preguntas y aclaraciones sobre cualquier duda en los procesos vigentes o información relevante.
",,,,
""",""OBS_00094""",GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR,
"El asesor participa mínimo una vez en el preturno, haciendo preguntas o aclaraciones sobre cualquier duda en los procesos o información relevante.",OBS_00095,GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"El asesor pronuncia claramente, lee a una velocidad moderada y marca los signos de puntuación al validar los datos y grabar el contrato, asegurando que el cliente entienda cada paso del proceso.
",,,,
""",""OBS_00096""",SERVICIO AL CLIENTE,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR,
El asesor proporciona información detallada sobre mínimo un canal o medio de comunicación que el cliente tendrá en cuenta para gestionar sus próximas solicitudes exitosamente.,OBS_00097,SERVICIO AL CLIENTE,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"El asesor proporciona instrucciones claras y detalladas sobre el uso correcto de las herramientas de validación, basándose en las políticas de aplicación de cada una.",OBS_00098,SERVICIO AL CLIENTE,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR
"El asesor proporciona instrucciones claras y detalladas sobre los siguientes pasos, agendamiento, información del producto, al igual que canales y medios de comunicación que el cliente tendrá en cuenta para gestionar su solicitud exitosamente.",OBS_00099,SERVICIO AL CLIENTE,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR
El asesor realiza mínimo una pregunta abierta para indagar el problema o necesidad del cliente y así lograr un mayor entendimiento de la situación.,OBS_00100,SERVICIO AL CLIENTE,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"El asesor realiza siempre de manera cuidadosa la lectura del contrato legal conforme a los parámetros establecidos, asegurando una correcta legalización de la venta.
",,,,
""",""OBS_00101""",GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR,
El asesor revisa mínimo una vez las comunicaciones y actualización internas que informan sobre posibles casos que puedan afectar la calidad del servicio.,OBS_00102,GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"El asesor se asegura a través de una indagación, con mínimo 2 preguntas cerradas el correcto perfilamiento de la oferta comercial, blindando la calidad de la digitación de la orden y la aplicación de las debidas excepciones de cada canal.
",,,,
""",""OBS_00103""",ADAPTABILIDAD,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR,
"El asesor se mantiene informado sobre los posibles casos que puedan afectar a los clientes, revisando regularmente las actualizaciones y comunicados internos por medio de Conectados.",OBS_00104,GESTIÓN Y ORGANIZACIÓN,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR
"El asesor siempre realiza una revisión meticulosa de la  solicitud y de los documentos de respaldo entregados por el comercial (si la solicitud lo requiere), asegurando el ingreso de información y soportes válidos para proceder con el trámite 
",,,,
""",""OBS_00105""",ADAPTABILIDAD,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR,
"El asesor transmite sensación de comodidad y respeto con el cliente, asegurando distancia, respuestas correctas al lenguaje no verbal, posturas o tonos de voz que reflejen accesibilidad.
",,,,
""",""OBS_00106""",GESTIÓN DE EMOCIONES,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR,
"El asesor usa de manera correctas las herramientas para generar registros, tipificaciones y escalamientos a través de los debidos procesos establecidos en la organización.
",,,,
""",""OBS_00107""",HABILIDADES DIGITALES,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR,
"El asesor utiliza minimo una herramienta o método para centralizar la información necesaria para proceder con el trámite, agilizando las tareas manuales y las digitaciones durante la atención.",OBS_00108,GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR
"El consultor agenda mínimo un espacio trimestral con el cliente para indagar nuevas necesidades o expectativas de mejora en el servicio, logrando un mayor entendimiento de la situación.",OBS_00110,HABILIDAD COMERCIAL,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE
El consultor asegura dar respuesta al 100% de los contactos recibidos durante el mismo día.,OBS_00111,PENSAMIENTO ESTRATÉGICO,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE
"El consultor asegura en las herramientas el 100% de los registros, tipificaciones y escalamientos a través de los debidos procesos establecidos en la organización.
",,,,
""",""OBS_00112""",HABILIDADES DIGITALES,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE,
"El consultor asegura la atención de cada una de sus solicitudes, atendiendo y brindando respuesta al 100% de los requerimientos o contacto que se presenten.",OBS_00113,SERVICIO AL CLIENTE,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE
El consultor conoce y domina la totalidad del proceso de ingreso a aplicativos.,OBS_00114,HABILIDADES DIGITALES,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE
"El consultor de manera mensual revisa las bases de clientes, identificando patrones de compra, requerimientos abiertos y niveles de satisfacción, para establecer prioridades en planes de visitas.",OBS_00115,SERVICIO AL CLIENTE,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE
"El consultor domina el 100% los pasos y lineamientos de cada esquema de soporte en los sistemas de información, logrando ejecutar órdenes oportunas.
",,,,
""",""OBS_00116""",HABILIDADES DIGITALES,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE,
"El consultor durante una interacción con el cliente, detecta posibles oportunidades de ampliación o mejora de servicios, documenta la información clave y contacta proactivamente al equipo comercial para coordinar la propuesta y seguimiento, asegurando una respuesta oportuna y alineada con las expectativas del cliente.",OBS_00117,HABILIDAD COMERCIAL,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE
"El consultor formaliza el 100% de los cierres de atención a través de respuesta escrita, consolidando los datos mas relevantes de la atención y el restablecimiento de los servicios.
",,,,
""",""OBS_00118""",SERVICIO AL CLIENTE,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE,
"El consultor presenta durante los últimos 3 meses del contrato, el planteamiento de una nueva propuesta técnica o económica de los servicios brindados al cliente.",OBS_00119,HABILIDAD COMERCIAL,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE
"El consultor realiza acompañamiento al 100% de los cambios contractuales o de implementación, verificando cumplimiento de lo pactado y entendiendo las nuevas especificaciones a brindar y asegurar al cliente. 
",,,,
""",""OBS_00120""",SERVICIO AL CLIENTE,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE,
"El consultor realiza mínimo un chequeo antes de realizar cualquier cierre de atención, validando que la problemática del cliente ha sido solucionada.
",,,,
""",""OBS_00121""",PENSAMIENTO ESTRATÉGICO,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE,
El consultor realiza mínimo una pregunta abierta para indagar el problema o necesidad del cliente y así lograr un mayor entendimiento de la situación.,OBS_00122,SERVICIO AL CLIENTE,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE
"El consultor revisa informes, datos de uso y rendimiento del servicio (ej.: velocidad de internet, historial de facturación) y propone mínimo un ajuste tecnológico o actualización basado en las necesidades del cliente.",OBS_00123,HABILIDAD COMERCIAL,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE
El consultor revisa mínimo una vez a la semana las comunicaciones y actualización internas que informan sobre posibles casos que puedan afectar la calidad del servicio.,OBS_00124,PENSAMIENTO ESTRATÉGICO,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE
El consultor se conecta a las plataformas de aprendizaje y comunicación para informarse sobre campañas vigentes y ofertas a impulsar en la temporada.,OBS_00125,HABILIDADES DIGITALES,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE
"El consultor siempre logra asistir o trasmitir novedades y necesidades al cliente durante el soporte de equipos especializados, dejando registro en las plataformas para lograr la trazabilidad.
",,,,
""",""OBS_00126""",PENSAMIENTO ESTRATÉGICO,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE,
"Emplea plataformas ( ejemplo: PowerBI, Tableau, etc.) de inteligencia de mercado para detectar nuevas tendencias, segmentos de cliente o áreas de mejora que puedan integrarse en su planificación comercial.",OBS_00127,HABILIDADES DIGITALES,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"En caso de ser contactado por  un cliente por un escalamiento no resuelto, el consultor investiga el estado del caso, coordina con las áreas correspondientes e informa al cliente de manera clara sobre los pasos realizados y confirma que sus expectativas han sido atendidas.
",,,,
""",""OBS_00128""",HABILIDADES DIGITALES,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE,
"En caso que aplique según su operación, accede al panel de control de ventas donde registre la información nueva y planifique las acciones siguientes.",OBS_00129,HABILIDADES DIGITALES,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"En caso que la operación no tenga tableros de gestión sistematizados, el asesor por cuenta propia genera los reportes solicitados por su líder para evidenciar su gestión del día/semana",OBS_00130,GESTIÓN Y ORGANIZACIÓN,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"En sus presentaciones de la solución  tiene claro en que momento hacer uso de una  presentación presencial y  virtual, usando los recursos básicos de éstas: Plataforma virtual colaborativa como Mural, Canva, demos.",OBS_00131,HABILIDADES DIGITALES,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Entiende e identifica con facilidad las principales características de las ofertas, productos y campañas del mes para ofrecerlas al cliente.",OBS_00132,GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
Entiende las necesidades cambiantes de los clientes y gestiona con el equipo interno de Claro oportunamente.,OBS_00133,PENSAMIENTO ESTRATÉGICO,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
Es receptivo y propositivo ante los lineamientos realizados por el líder de punto o entrenador.,OBS_00134,GESTIÓN DE EMOCIONES,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
Escucha activamente al 100% del staff para identificar problemas y necesidades en el aliado en tiempo real y ofrece oportuna acción.,OBS_00135,APORTE DE VALOR,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
Escucha con atención las dudas del cliente sin interrumpirlo y responde con argumentos sólidos.,OBS_00136,HABILIDAD COMERCIAL,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Escucha con atención las dudas del cliente sin interrumpirlo y responde con argumentos sólidos. (lo dejaría en el contacto inicial antes de argumentar , sino parece una venta reactiva)",OBS_00136,HABILIDAD COMERCIAL,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
Esta dispuesto a modificar las propuestas y encontrar soluciones creativas que beneficien al aliado para mantener una actitud abierta y receptiva a nuevas ideas.,OBS_00137,ADAPTABILIDAD,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
"Esta informado sobre campañas vigentes y ofertas a impulsar en la temporada, a través de Conectados como herramienta principal, manteniéndose actualizado y planificando cómo integrarlas en sus interacciones con los clientes.",OBS_00138,HABILIDAD COMERCIAL,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR
Evalúa y ajusta mensualmente el impacto de las estrategias implementadas en la operación.,OBS_00139,EXCELENCIA,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
"Explica de manera clara y convincente cómo sus recomendaciones contribuyen al éxito a largo plazo, utilizando datos y hechos como respaldo.",OBS_00140,PENSAMIENTO ESTRATÉGICO,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
Genera los reportes solicitados por su líder para evidenciar su gestión del día/semana,OBS_00141,GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
Hace seguimiento / acompañamiento a las áreas involucradas en la implementación de la solución).,OBS_00143,HABILIDAD COMERCIAL,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
Hace uso de IA  para la elaboración de sus presentaciones y ofertas iniciales.,OBS_00144,HABILIDADES DIGITALES,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Hace uso del  social selling para encontrar, conectar, interactuar y construir relaciones con potenciales clientes( hunter - Farmer ).",OBS_00145,HABILIDADES DIGITALES,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Hacer seguimiento permanente (mínimo 1h a la semana) a la evolución de la propuesta presentada, aclarando dudas y solicitando Feedback.",OBS_00146,HABILIDADES DIGITALES,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Inicia la conversación con un saludo energético, claro y profesional, acompañado de un comentario personalizado relevante para el prospecto.",OBS_00148,HABILIDAD COMERCIAL,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Interactúa con el contacto objetivo dentro de la empresa y su comunidad, ofreciendo un producto acorde a la necesidad del negocio (aplica para Pyme), y en el caso de Grandes Empresas ofrece un ecosistema integral de productos.",OBS_00149,HABILIDAD COMERCIAL,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"La actitud proyectada hacia el cliente es amable y cercana, dejando clara la intención de accesibilidad y disposición de la compañía para solucionar cualquier novedad que el cliente pueda presentar.",OBS_00150,SERVICIO AL CLIENTE,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR
Lleva  trazabilidad del estado de las acciones o requerimientos ejecutados con el cliente a nivel empresarial e individual y comunica a tiempo las novedades.,OBS_00151,PENSAMIENTO ESTRATÉGICO,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
Llevar trazabilidad del estado de las acciones o requerimientos ejecutados en el cliente a nivel empresarial e individual y comunicarlas a tiempo.,OBS_00151,PENSAMIENTO ESTRATÉGICO,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Logra diferenciar las capacidades y valor de su solución en comparación con otras alternativas, conectando las soluciones  con las prioridades del cliente y los tomadores de decisiones.",OBS_00152,HABILIDAD COMERCIAL,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Logra identificar, resolver o notificar cualquier novedad en sus herramientas de trabajo, siendo oportuno en la resolución o escalamientos de problemas técnicos que pueda presentar.",OBS_00153,GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR
"Maneja adecuadamente el 100% de las herramientas (Conectados) de comunicación digitales para consultar procesos, ofertas, producto.",OBS_00154,HABILIDADES DIGITALES,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"Maneja adecuadamente el 100% de las herramientas de comunicación digitales para consultar procesos, ofertas, producto.",OBS_00154,HABILIDADES DIGITALES,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"Mantener un canal de comunicación constante con el cliente, mostrándose empático, cercano y disponible para cubrir sus necesidades.",OBS_00155,HABILIDAD COMERCIAL,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Mantiene comunicación constante y efectiva con supervisores, jefes de operaciones, BackOffice, áreas de calidad y trasversales para que estén alineados y lograr los objetivos comunes",OBS_00156,COLABORACIÓN,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
"Mantiene en todo el contacto un tono de voz calmado, seguro y profesional, incluso cuando el cliente manifiesta resistencia o negatividad",OBS_00157,GESTIÓN DE EMOCIONES,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Mantiene en todo el contacto un tono de voz calmado, seguro y profesional, incluso cuando el cliente manifiesta resistencia o negatividad.",OBS_00157,GESTIÓN DE EMOCIONES,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Mantiene la calma  y su lenguaje corporal en situaciones difíciles, usando un tono de voz controlado y una postura corporal de apertura.",OBS_00158,GESTIÓN DE EMOCIONES,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR
"Mantiene la calma y su lenguaje corporal en situaciones difíciles, usando un tono de voz controlado y una postura corporal de apertura.",OBS_00158,GESTIÓN DE EMOCIONES,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR
"Mantiene la calma y su lenguaje corporal en situaciones difíciles, usando un tono de voz controlado, pausado, sin interrumpir al cliente  y una postura corporal de apertura.",OBS_00158,GESTIÓN DE EMOCIONES,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR
"Mantiene la calma y su lenguaje corporal en situaciones difíciles, usando un tono de voz controlado, pausado, sin interrupciones y una postura corporal de apertura.",OBS_00158,GESTIÓN DE EMOCIONES,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR
Mantiene la compostura y responde de manera empática cuando el cliente manifiesta una insatisfacción.,OBS_00159,GESTIÓN DE EMOCIONES,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Mantiene un canal de comunicación constante con el cliente, mostrándose empático, cercano y disponible para cubrir sus necesidades.",OBS_00160,PENSAMIENTO ESTRATÉGICO,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Mantiene una postura positiva ante una respuesta negativa del cliente, sin dejarse llevar por la frustración para las siguientes atenciones",OBS_00161,GESTIÓN DE EMOCIONES,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Mantiene una relación de colaboración, compartiendo conocimientos que van más allá de las necesidades actuales del cliente, y posicionándose como un asesor de confianza desde el contacto inicial.",OBS_00162,PENSAMIENTO ESTRATÉGICO,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
Mensualmente genera espacios de escucha y retroalimentación con los Lideres sobre las bases de datos y como ajustarlas.,OBS_00163,ANÁLITICA Y TOMA DE DECISIONES,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
"Notifica cualquier novedad con su líder, busca fuentes para resolver las dudas que tenga",OBS_00164,GESTIÓN Y ORGANIZACIÓN,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
Participa activamente en el análisis de resultados de ventas para proponer semanalmente mínimo una estrategia comercial basada en hallazgos.,OBS_00165,APORTE DE VALOR,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
Participa activamente en la operación para adaptar estrategias comerciales optimizando el manejo de bases de datos entregadas al aliado.,OBS_00166,ADAPTABILIDAD,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
"Participa en los espacios de preturno, preguntando, aportando e integrándose en la conversación.",OBS_00167,GESTIÓN DE EMOCIONES,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Participa mínimo una vez en las actividades operativas para identificar las necesidades y expectativas del staff, y favorecer la toma de decisiones.",OBS_00168,COLABORACIÓN,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
Pregunta si la explicación ha cubierto todas sus dudas o si hay algo más que le gustaría saber antes de tomar una decisión.,OBS_00169,HABILIDAD COMERCIAL,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Preparar y organiza la información del cliente y del portafolio de productos, dándole celeridad al proceso de desarrollo de la solución.",OBS_00170,PENSAMIENTO ESTRATÉGICO,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Previo a las reuniones, revisa el estado de avance de proyectos anteriores, las novedades del cliente y el sector, así como los resultados esperados de la gestión de la base de clientes.",OBS_00171,HABILIDAD COMERCIAL,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Prioriza la gestión de prospectos considerando; fuente, acceso, calidad de información, potencial comercial.",OBS_00172,HABILIDAD COMERCIAL,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
Prioriza lo urgente e importante para optimizar el tiempo y esfuerzo requerido para ejecutar las estrategias y/o planes de acción.,OBS_00173,EXCELENCIA,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
"Promover con el cliente reuniones de seguimiento de gestión ,  revisar check list de la reunión con los temas que se van a tratar .",OBS_00174,HABILIDAD COMERCIAL,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
